nr,avg_time_in_cluster,percent_time_in_cluster,nr_nodes,nr_instances,is_extreme,prob_to_extreme,avg_time_to_extreme,path_to_extreme
0,67.5,3.552631578947368,17,1,1,0.058823529411764705,67.5,1.0
1,37.5,5.921052631578947,40,3,0,0.8812834224598931,37.5,2.0
2,14.375,3.026315789473684,22,4,1,0.025,14.375,1.0
3,18.75,1.9736842105263157,14,2,2,0.0,0.0,0.0
4,42.5,11.18421052631579,67,5,0,0.00034528848295834277,66.875,3.0
5,16.25,5.131578947368421,35,6,1,0.945,16.25,1.0
6,47.5,5.0,27,2,0,0.002066115702479339,76.25,2.0
7,28.75,9.078947368421053,55,6,1,0.045454545454545456,28.75,1.0
8,33.125,6.973684210526315,48,4,1,0.8181818181818182,33.125,1.0
9,47.5,12.5,82,5,1,0.045454545454545456,47.5,1.0
10,37.5,7.894736842105263,52,4,1,0.045454545454545456,37.5,1.0
11,28.75,3.026315789473684,23,2,1,0.017857142857142856,28.75,1.0
12,32.5,1.710526315789474,12,1,0,0.0,897.0,26.0
13,20.0,1.0526315789473684,8,1,0,0.0032467532467532465,67.5,2.0
14,33.333333333333336,5.263157894736842,36,3,1,0.014925373134328358,33.333333333333336,1.0
15,27.5,4.342105263157895,29,3,2,0.0,0.0,0.0
16,53.75,5.657894736842105,36,2,0,0.0002227667631989307,91.25,2.0
17,38.75,8.157894736842106,54,4,1,0.014925373134328358,38.75,1.0
18,37.5,7.894736842105263,46,4,1,0.014925373134328358,37.5,1.0
19,20.833333333333332,3.289473684210526,24,3,0,0.01381153931833371,59.58333333333333,2.0
20,48.75,10.263157894736842,65,4,1,0.014285714285714285,48.75,1.0
21,12.0,3.1578947368421053,23,5,0,0.0,418.875,12.0
22,19.166666666666668,3.026315789473684,22,3,0,3.624131497020803e-07,75.41666666666667,3.0
23,32.5,8.552631578947368,57,5,2,0.0,0.0,0.0
24,7.5,0.39473684210526316,3,1,0,0.0,426.375,13.0
25,17.5,0.9210526315789472,6,1,0,0.0,443.875,14.0
26,70.0,3.684210526315789,28,1,2,0.0,0.0,0.0
27,87.5,9.210526315789473,63,2,1,0.01818181818181818,87.5,1.0
28,27.5,1.4473684210526316,11,1,0,6.075457178152656e-06,118.75,3.0
29,37.5,3.9473684210526314,29,2,2,0.0,0.0,0.0
30,30.5,8.026315789473685,57,5,1,0.9363636363636364,30.5,1.0
31,44.166666666666664,6.973684210526315,51,3,2,0.0,0.0,0.0
32,35.0,3.684210526315789,27,2,0,0.0,479.375,13.0
33,157.5,8.289473684210526,62,1,0,0.0,636.875,14.0
34,47.5,2.5,19,1,2,0.0,0.0,0.0
35,36.25,3.8157894736842106,29,2,2,0.0,0.0,0.0
36,75.0,3.9473684210526314,30,1,2,0.0,0.0,0.0
37,37.5,7.894736842105263,57,4,2,0.0,0.0,0.0
38,25.625,5.394736842105264,35,4,1,0.036585365853658534,25.625,1.0
39,52.5,2.763157894736842,20,1,0,0.0,459.375,12.0
40,30.0,1.5789473684210527,13,1,0,8.456306826381874e-06,100.625,3.0
41,45.0,4.736842105263158,31,2,0,0.00017589118198874296,70.625,2.0
42,20.0,1.0526315789473684,9,1,0,0.0,525.75,18.0
43,0.0,0.0,1,1,1,0.043478260869565216,0.0,1.0
44,62.5,3.289473684210526,26,1,1,0.021739130434782608,62.5,1.0
45,7.5,0.39473684210526316,4,1,0,0.013354037267080746,56.25,2.0
46,37.5,1.9736842105263157,16,1,2,0.0,0.0,0.0
47,10.0,0.5263157894736842,5,1,0,0.0,1184.375,34.0
48,37.5,1.9736842105263157,16,1,2,0.0,0.0,0.0
49,10.0,0.5263157894736842,5,1,0,0.0015625,24.375,2.0
50,12.5,0.6578947368421052,6,1,1,0.027777777777777776,12.5,1.0
51,55.0,2.8947368421052633,23,1,0,0.0,1174.375,33.0
52,30.0,1.5789473684210527,13,1,2,0.0,0.0,0.0
53,25.0,1.3157894736842104,11,1,0,0.0,889.5,25.0
