nr,avg_time_in_cluster,percent_time_in_cluster,nr_nodes,nr_instances,is_extreme,prob_to_extreme,avg_time_to_extreme,path_to_extreme
0,7.5,0.3125,4,1,2,0.0,0.0,0.0
1,7.5,0.3125,4,1,1,0.75,7.5,1.0
2,2.5,0.10416666666666667,2,1,0,0.0,152.40382434036658,36.0
3,0.0,0.0,2,3,0,0.0,135.89379927770992,28.0
4,3.9367816091954024,14.270833333333332,83,87,1,0.5,3.9367816091954024,1.0
5,2.533333333333333,7.916666666666666,48,75,1,0.5,2.533333333333333,1.0
6,5.0,0.20833333333333334,3,1,0,0.0,164.90382434036658,41.0
7,12.5,0.5208333333333333,6,1,0,0.002631956397016638,16.214285714285715,2.0
8,2.109375,5.625,33,64,1,0.25,2.109375,1.0
9,3.858695652173913,14.791666666666666,54,92,1,0.0033364226135310475,3.858695652173913,1.0
10,10.0,0.4166666666666667,5,1,2,0.0,0.0,0.0
11,1.6379310344827587,1.9791666666666665,47,29,2,0.0,0.0,0.0
12,4.166666666666667,0.5208333333333333,6,3,1,0.006024096385542169,4.166666666666667,1.0
13,2.5,0.10416666666666667,2,1,0,0.0,148.65382434036658,34.0
14,2.5,0.10416666666666667,2,1,0,0.0,173.65382434036658,46.0
15,2.5,0.10416666666666667,2,1,0,0.0,128.23354286745354,24.0
16,3.3333333333333335,0.4166666666666667,5,3,0,0.0,61.22464587364276,15.0
17,3.404255319148936,6.666666666666667,41,47,1,0.03148307515777395,3.404255319148936,1.0
18,0.0,0.0,1,1,0,0.0,183.65382434036658,45.0
19,0.0,0.0,2,2,0,0.0,126.13189451580517,29.0
20,5.5,1.1458333333333333,12,5,1,0.000502008032128514,5.5,1.0
21,2.628205128205128,4.270833333333333,26,39,1,0.005444856348470806,2.628205128205128,1.0
22,3.7142857142857144,5.416666666666667,37,35,1,0.010527825588066551,3.7142857142857144,1.0
23,0.0,0.0,1,1,0,0.0,54.81438946338634,13.0
24,2.5,0.20833333333333334,3,2,1,0.012048192771084338,2.5,1.0
25,5.0,0.20833333333333334,3,1,2,0.0,0.0,0.0
26,11.590909090909092,5.312500000000001,44,11,2,0.0,0.0,0.0
27,6.612903225806452,8.541666666666666,62,31,2,0.0,0.0,0.0
28,0.0,0.0,1,3,0,0.0,57.89131254030942,14.0
29,3.076923076923077,5.0,35,39,1,0.024096385542168676,3.076923076923077,1.0
30,1.25,0.10416666666666667,2,2,1,0.07908777969018932,1.25,1.0
31,2.5,0.10416666666666667,2,1,0,0.0,167.40382434036658,42.0
32,13.75,5.729166666666666,28,10,1,0.022489959839357428,13.75,1.0
33,3.75,0.3125,3,2,0,0.0,143.6318945158052,31.0
34,13.947368421052632,11.041666666666666,61,19,2,0.0,0.0,0.0
35,22.03125,14.6875,55,16,2,0.0,0.0,0.0
36,2.5,0.10416666666666667,2,1,0,0.0,64.71270953412022,17.0
37,0.0,0.0,2,3,0,0.002357456140350877,3.9367816091954024,2.0
38,4.0,2.5,15,15,1,0.0005482456140350877,4.0,1.0
39,1.6666666666666667,0.20833333333333334,3,3,0,0.0,129.9002095341202,25.0
40,0.8333333333333334,0.10416666666666667,2,3,0,5.710891812865497e-06,3.9583333333333335,2.0
41,3.5714285714285716,1.0416666666666665,11,7,1,0.0005482456140350877,3.5714285714285716,1.0
42,4.605263157894737,3.6458333333333335,26,19,1,0.006944444444444444,4.605263157894737,1.0
43,21.0,4.375,39,5,2,0.0,0.0,0.0
44,10.555555555555555,3.958333333333333,32,9,2,0.0,0.0,0.0
45,12.833333333333334,8.020833333333334,49,15,1,0.006944444444444444,12.833333333333334,1.0
46,2.5,0.10416666666666667,2,1,0,0.0,58.35605613005301,14.0
47,3.125,3.125,21,24,1,0.010416666666666666,3.125,1.0
48,2.5,0.10416666666666667,2,1,0,0.0,123.6318945158052,20.0
49,38.333333333333336,4.791666666666667,38,3,2,0.0,0.0,0.0
50,13.75,1.1458333333333333,11,2,2,0.0,0.0,0.0
51,4.444444444444445,1.6666666666666667,16,9,1,0.06142024792373089,4.444444444444445,1.0
52,30.0,1.25,10,1,0,2.359399733821487e-19,84.81438946338633,13.0
53,10.3125,3.4375000000000004,26,8,1,0.05552023440955329,10.3125,1.0
54,25.0,1.0416666666666665,10,1,0,0.03970752992566996,35.3125,2.0
55,10.0,0.4166666666666667,4,1,2,0.0,0.0,0.0
56,0.0,0.0,1,1,0,0.0,167.40382434036658,43.0
57,0.0,0.0,1,1,0,5.160379016554117e-06,23.401874366767984,6.0
58,2.5,0.10416666666666667,2,1,1,0.8333333333333334,2.5,1.0
59,0.0,0.0,1,1,1,0.00505050505050505,0.0,1.0
60,0.0,0.0,1,1,0,0.0,123.6318945158052,28.0
61,5.0,0.20833333333333334,3,1,0,0.0,153.02882434036658,32.0
62,5.0,0.20833333333333334,3,1,0,0.0,178.65382434036658,47.0
63,22.5,0.9375,10,1,2,0.0,0.0,0.0
64,0.0,0.0,1,1,0,0.0,148.02882434036658,31.0
65,12.5,0.5208333333333333,6,1,2,0.0,0.0,0.0
66,42.5,1.7708333333333333,18,1,2,0.0,0.0,0.0
67,5.0,0.20833333333333334,3,1,0,1.3082937910479633e-19,56.89772279671967,12.0
68,2.5,0.20833333333333334,3,2,0,0.0,88.54965767369991,22.0
69,22.5,1.875,18,2,1,0.028957528957528955,22.5,1.0
70,8.0,1.6666666666666667,13,5,0,0.0,187.9038243403666,42.0
71,5.0,1.0416666666666665,11,5,0,0.0,128.6318945158052,29.0
72,2.5,0.10416666666666667,2,1,0,2.264832134435043e-19,57.31438946338634,13.0
73,1.25,0.10416666666666667,2,2,0,0.3736603486603487,3.783333333333333,2.0
74,15.0,0.625,7,1,0,0.0,103.54965767369991,23.0
75,1.25,0.10416666666666667,2,2,0,6.038582086567854e-13,37.48520770010131,7.0
